No,Filename,Width,Height,AspectRatio,PixelAspectRatio,SourceDisplayRatio,RatioSource,Format,HasTransparentPixels,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category
1,ch3_stack_iso.jpg,1200,896,1.34,1.34,,native,JPEG,False,1,,bitmap,True,True,111.7,Standard landscape
2,regolith_section.jpg,1200,896,1.34,1.34,,native,JPEG,False,1,,bitmap,True,True,147.2,Standard landscape
3,south_pole_terrain.jpg,1920,1072,1.79,1.79,,native,JPEG,False,1,,bitmap,True,True,222.2,Wide landscape
